,tau,a_star,b_star,a_Bayes,b_Bayes
58,0.059,0.990624995753,7.913429056919999,1.00767793148,-1.75670237033
59,0.06,0.986861844313,6.417547687000001,1.01911328633,-1.04025621963
60,0.061,0.98323499483,7.27804296903,0.977993559043,1.35198910216
61,0.062,0.971672444992,13.9861140901,0.998017829471,2.39034464839
62,0.063,0.995458446551,4.48989178426,1.00545524576,-1.24573465705
63,0.064,0.957992855198,15.5403186727,0.991837949877,2.0318973272400003
64,0.065,0.990030641142,2.23367814132,0.9800325795,0.446029578934
65,0.066,0.98577584808,5.88900014903,1.0143412337100002,-1.86715656258
66,0.067,1.00416935835,3.05438571313,0.995045124328,-0.209687779007
67,0.068,0.994104901681,4.03902534989,1.01519841222,0.27666391862100004
68,0.069,0.983127044685,7.19033252235,1.02137688933,2.71077115097
69,0.07,0.986675062129,7.82623928624,1.00378333695,0.580560199423
70,0.071,0.96032163015,11.402375308800002,0.969132582741,1.18479321404
71,0.07200000000000001,0.959479474498,13.473145799500001,0.982476635564,-0.650633763481
72,0.073,0.971248943487,10.4466763178,0.992527060778,0.829064171556
73,0.07400000000000001,0.943236695448,22.458394488299998,0.974092498854,0.899012489894
74,0.075,0.973144006731,10.0052597319,1.01126287759,-0.577522293257
75,0.076,0.989287823678,8.61632860516,1.03633686781,-1.67426561087
76,0.077,0.956762345545,16.8431283139,0.99916419228,0.323673431136
77,0.078,0.946255653235,17.7296584025,0.9820728784,3.19546451401
78,0.079,0.977936170493,14.423768991800001,1.0235310506,0.213078615306
79,0.08,0.956286981998,19.5027716877,0.997180406187,1.65106988635
80,0.081,0.979110363553,11.004861766800001,0.992704370473,7.89947186379
81,0.08199999999999999,0.970348870755,13.198273359100002,0.958392006078,5.807397761769999
82,0.083,0.934623472755,25.808630676,0.991732376518,0.355122581835
83,0.084,0.94164670547,17.063557416,1.00112441968,0.423395337041
84,0.085,0.974848475694,5.89437679353,0.950075198269,0.85802283867
85,0.086,0.948655449491,21.9372442972,1.0017022762,0.250009273325
86,0.087,0.943855845787,10.8358298177,0.960364606558,0.8112205106199999
